City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
262,Gizo,SB,-8.103,156.8419,85.64,69,74,6.4,broken clouds
263,Camacha,PT,33.0833,-16.3333,58.42,77,20,12.66,few clouds
264,Maketu,NZ,-37.7667,176.45,67.05,84,100,5.19,overcast clouds
265,Havre-Saint-Pierre,CA,50.2334,-63.5986,39.25,73,14,5.08,few clouds
266,Tautira,PF,-17.7333,-149.15,80.87,78,42,9.48,scattered clouds
267,Helena,US,46.5927,-112.0361,41.99,70,100,6.91,overcast clouds
268,Natal,BR,-5.795,-35.2094,77.65,88,0,6.91,light rain
269,Kimbe,PG,-5.5502,150.1429,88.95,62,72,5.75,broken clouds
270,Srikakulam,IN,18.3,83.9,84.34,64,100,9.6,overcast clouds
271,Cidreira,BR,-30.1811,-50.2056,65.86,82,0,12.82,clear sky
272,Cherskiy,RU,68.75,161.3,31.26,88,88,15.37,overcast clouds
273,Paita,PE,-5.0892,-81.1144,67.6,81,93,18.25,overcast clouds
274,Teahupoo,PF,-17.8333,-149.2667,80.53,79,50,10.58,scattered clouds
275,Cockburn Town,TC,21.4612,-71.1419,78.93,79,0,10.11,clear sky
276,Genhe,CN,50.7833,121.5167,68.31,13,5,15.68,clear sky
277,Sorland,NO,67.667,12.6934,40.86,79,100,12.41,overcast clouds
278,Mayya,RU,61.7333,130.2811,43.92,68,100,11.1,overcast clouds
279,Saint-Philippe,RE,-21.3585,55.7679,71.19,81,39,6.06,scattered clouds
280,Havelock,US,34.8791,-76.9013,53.58,87,100,18.41,overcast clouds
281,Ust-Uda,RU,54.1742,103.0304,34.7,41,100,13.24,overcast clouds
282,Kaeo,NZ,-35.1,173.7833,67.32,86,100,11.01,overcast clouds
283,Ixtapa,MX,20.7,-105.2,76.23,83,40,5.75,scattered clouds
284,Caconda,AO,-13.7333,15.0667,55.92,54,0,0.81,clear sky
285,Moranbah,AU,-22.0016,148.0466,76.01,68,99,17.4,overcast clouds
286,Santa Cruz,BO,-17.8,-63.1667,71.06,83,4,5.75,clear sky
287,Roma,US,43.2128,-75.4557,50.14,54,0,0.0,clear sky
288,Kapit,MY,2.0167,112.9333,74.86,100,100,1.5,overcast clouds
